column,code
National Capital Region,13
Cordillera Administrative Region,14
Region I - Ilocos Region,1
Region II - Cagayan Valley,2
Region III - Central Luzon,3
Region IVA - CALABARZON,4
Region IVB - MIMAROPA,17
Region V- Bicol,5
Region VI - Western Visayas,6
Region VII - Central Visayas,7
Region VIII - Eastern Visayas,8
Region IX - Zamboanga Peninsula,9
Region X - Northern Mindanao,10
Region XI - Davao,11
Region XII - SOCCSKSARGEN,12
Region XIII - Caraga,16
Bangsamoro Autonomous Region in Muslim Mindanao,15
National Capital Region,13
Cordillera Administrative Region,14
Region I - Ilocos Region,1
Region II - Cagayan Valley,2
Region III - Central Luzon,3
Region IVA - CALABARZON,4
Region V- Bicol,5
Region VI - Western Visayas,6
Region VII - Central Visayas,7
Region VIII - Eastern Visayas,8
Region IX - Zamboanga Peninsula,9
Region X - Northern Mindanao,10
Region XI - Davao,11
Region XII - SOCCSKSARGEN,12
Region XIII - Caraga,16
Bangsamoro Autonomous Region in Muslim Mindanao,19
Region IVB - MIMAROPA,17
